MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight
2034961,2023/08/12,08-Aug-2015,Female,0,Hangzhou,,CHN,47.0,01/20/2025,3,33152,68689.25,35015.35,333819,23-Sep-2024,119,99.446179,210,0,1.467123,72193,8
2036110,19-Jan-2016,17-May-2008,,2,Shanghai,,United States,31.0,02-Oct-2024,2,23973,61021.08,n/a,141921,04/06/2024,179,109.943927,244,1,0.68564,164391,13
2031636,2015/11/13,19-Aug-2008,male,3,SHANGHAI,,CN ,40.0,12/19/2024,6,14772,33073.27,58335.93,301909,2024-08-07,134,153.338019,315,7,0.141893,65196,13
2058190,2024-01-22,2018/07/30,Male,2,Shanghai,,US,49.0,2025-09-12,5,31816,28677.74,87053.89,118706,06-Jan-2024,615,74.36745,465,5,1.7384,242388,12
2062827,2019-08-01,26-Jul-2011,Male,0,Guangzhou,Zhejiang,US,37.0,2024/09/23,8,2432,95087.34,49349.18,243191,02/01/2024,235,278.41876,562,1,1.251565,65854,8
2037170,03/27/2013,2012/04/25,F,0,Hangzhou,Chongqing,United States,50.0,2025-04-21,6,38997,37995.88,42684.27,74774,10/23/2024,180,130.150416,204,4,1.030027,3771,13
2060481,2015-11-11,2020/03/13,,0,beijing,Shaanxi,India,37.0,2024-09-17,4,25560,28503.78,33822.47,366349,27-Aug-2024,21,75.260979,616,2,1.188841,209605,12
2037072,2013/06/13,2020/06/02,Unknown,1,Shenzhen,,United States,48.0,2025/11/07,2,53585,29.72,1768.22,256623,20-Feb-2024,626,69.937156,463,3,1.537844,62017,15
2018374,12/21/2014,10/17/2014,Unknown,3,Hangzhou,,United States,31.0,2025/08/12,6,48207,36067.73,114630.48,345878,12/06/2023,615,21.137631,216,2,0.74621,74736,18
2049994,18-May-2022,2023/12/09,F,0,Chong qing,Guang dong,cn,50.0,2024/05/05,3,30412,36899.66,4060.37,243147,2024-04-14,21,15.719247,27,3,0.77022,106414,10
2050511,2013/08/06,11/02/2012,Male,1,Xian,Sichuan,CN,26.0,06/21/2025,5,10248,111866.1,55107.67,209059,03/24/2024,454,122.549156,427,6,0.753524,61292,11
2038179,2018/01/09,07/04/2008,female ,3,guangzhou ,Shanghai,,40.0,2025-07-27,-8,38591,69062.78,63191.04,425185,11/12/2024,257,84.459384,221,3,1.242526,6184,7
2042307,13-Jun-2015,10/21/2008,male,2,Nan jing,Guangdong,CN ,42.0,2024-05-23,2,6189,28957.71,7738.67,325178,01/04/2023,505,21.342835,499,3,0.551503,127051,9
2012991,2024/12/22,26-Sep-2025,,3,Hangzhou,Zhejiang,CHN,53.0,2025-05-26,4,38909,43142.23,85377.3,71512,03/04/2024,448,130.831103,34,2,0.655721,105373,14
2027132,03/16/2012,19-Oct-2005,M,1,beijing,Guangdong,US,32.0,2025/07/24,10,34809,933.97,10733.64,308859,05-Jul-2024,384,166.547074,3,1,0.432894,323352,9
2057881,02/04/2021,02/17/2015,female ,0,SHANGHAI,shang hai,US,,03-Jul-2024,8,48125,57656.61,10224.14,121520,11/02/2023,244,64.244047,650,1,1.189122,294167,10
2030964,2014-05-29,2020-11-24,M,0,Chengdu,Guangdong,CHN,47.0,2024-12-11,5,47199,16576.43,27812.29,68253,2023-06-02,558,213.721163,361,1,1.639149,311210,7
2012654,2015/07/01,2005/06/03,Male,0,,Sichuan,,,13-Feb-2024,8,15152,33668.01,31138.29,29910,2022-11-23,447,104.23682,389,1,0.869765,162853,16
2032101,2024-02-28,2014-03-16,M,1,wuhan,shang hai,China ,49.0,04/27/2025,7,37760,11504.13,45613.94,136166,2024-12-21,127,2.616537,33,2,0.964352,324366,11
2006937,06/04/2023,2008-07-16,Male,0,Nan jing,Si chuan,US,26.0,2025/12/04,3,17088,29421.25,16282.04,108863,2024-11-23,376,101.55416,27,3,0.990618,274874,6
2034403,04/26/2022,03/03/2008,Female,0,Shenzhen,Guangdong,CN,26.0,05/25/2025,4,54742,49257.61,39869.26,228990,07/20/2023,675,135.891695,175,2,1.482292,251921,9
2001411,2014/06/03,2020/11/04,male,0,Shenzhen,Hubei,China,35.0,2025-11-14,2,22022,4413.8,40834.75,164566,02-Sep-2024,438,108.654489,390,7,0.00377,127990,11
2028359,2015/09/08,03/16/2013,,0,,Guang dong,CHN,32.0,2024/11/13,1,72819,82007.85,20470.89,137584,2024-03-10,248,29.215664,328,1,1.757557,111047,7
2039036,2023-12-01,20-Nov-2008,,0,beijing,Beijing,CN ,,2025-08-13,8,25560,44365.84,9834.42,154220,2025-03-29,137,128.527355,387,2,0.1774,32669,13
2001004,02-May-2022,2008-11-02,Unknown,1,Hangzhou,Sichuan,China ,40.0,11/20/2025,9,26745,42202.73,n/a,77266,14-Sep-2024,432,194.192834,348,3,1.972912,27004,6
2007364,29-May-2018,04/19/2019,M,2,Nan jing,Beijing,CN ,46.0,26-Jan-2024,5,23412,31587.04,36890.81,139330,2023-03-22,310,218.565264,856,0,0.91137,299280,8
2016676,2017-07-15,08/28/2014,,0,Nan jing,Zhejiang,cn,30.0,2025/03/03,3,42940,6054.88,55121.5,349239,04/17/2023,686,102.171166,122,3,0.695656,504512,10
