MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight,SUM_YR_1_log,SUM_YR_2_log,AVG_INTERVAL_sqrt,AGE_GROUP,Distance_Group
2034961,2023-08-12,2015-08-08,F,0,Hangzhou,Shanghai,China,47,2025-01-20,3,33152,68689,35015,333819,2024-09-23,119,99,210,0,1,72193,8,11.137358907207927,10.463560378870731,9.9498743710662,Middle Age,200k+
2036110,2018-01-23,2008-05-17,M,2,Shanghai,Shanghai,United States,31,2024-12-28,2,23973,61021,106432,141921,2024-01-22,179,110,244,1,1,164391,13,11.018989733872505,11.575270958178935,10.488088481701515,Adult,100k-200k
2031636,2015-11-13,2008-08-19,M,2,Shanghai,Shanghai,China,40,2024-12-19,6,14772,33073,58336,301909,2024-01-22,134,153,315,7,0,65196,13,10.406502754210141,10.97399181940497,12.36931687685298,Adult,200k+
2058190,2018-01-23,2015-07-03,M,2,Shanghai,Shanghai,United States,49,2024-12-28,5,31816,28678,87054,118706,2024-01-06,615,74,465,5,2,242388,12,10.263920426602184,11.3742953818007,8.602325267042627,Middle Age,100k-200k
2062827,2018-01-23,2011-07-26,M,0,Guangzhou,Zhe Jiang,United States,37,2024-12-28,8,2432,95087,49349,243191,2024-01-22,235,278,562,1,1,65854,8,11.462558057606442,10.806693044861628,16.673332000533065,Adult,200k+
2037170,2018-01-23,2015-07-03,F,0,Hangzhou,Chongqing,United States,50,2024-12-28,6,38997,37996,42684,74774,2024-01-22,180,130,204,4,1,3771,13,10.545262488223594,10.661602849444407,11.40175425099138,Middle Age,50k-100k
2060481,2018-01-23,2015-07-03,M,0,Beijing,Shanghai,India,37,2024-12-28,4,25560,28504,33822,366349,2024-08-27,21,75,616,2,1,209605,12,10.257834789465683,10.428896323426862,8.660254037844387,Adult,200k+
2037072,2013-06-13,2015-07-03,M,1,Shenzhen,Shanghai,United States,48,2024-12-28,2,53585,30,1768,256623,2024-02-20,626,70,463,3,2,62017,15,3.4339872044851463,7.478169694159785,8.366600265340756,Middle Age,200k+
2018374,2018-01-23,2015-07-03,M,2,Hangzhou,Shanghai,United States,31,2024-12-28,6,48207,36068,106432,345878,2024-01-22,615,21,216,2,1,74736,18,10.49318904964302,11.575270958178935,4.58257569495584,Adult,200k+
2049994,2018-01-23,2015-07-03,F,0,Chong Qing,Guangdong,China,50,2024-12-28,3,30412,36900,4060,243147,2024-01-22,21,16,27,3,1,106414,10,10.515993929932415,8.309184527686298,4.0,Middle Age,200k+
2050511,2013-08-06,2015-07-03,M,1,Xian,Si Chuan,China,26,2025-06-21,5,10248,111866,55108,209059,2024-01-22,454,123,427,6,1,61292,11,11.625065944640422,10.917068321185521,11.090536506409418,Young Adult,200k+
2038179,2018-01-09,2015-07-03,F,2,Guangzhou,Shanghai,United States,40,2024-12-28,8,38591,69063,63191,425185,2024-01-22,257,84,221,3,1,6184,7,11.142788889915359,11.053932989844254,9.16515138991168,Adult,200k+
2042307,2018-01-23,2015-07-03,M,2,Nanjing,Guangdong,China,42,2024-12-28,2,6189,28958,7739,325178,2024-01-22,505,21,499,3,1,127051,9,10.273636315516725,8.954156966583772,4.58257569495584,Adult,200k+
2012991,2024-12-22,2025-09-26,M,2,Hangzhou,Zhe Jiang,China,53,2024-12-28,4,38909,43142,85377,71512,2024-01-22,448,131,34,2,1,105373,14,10.67227545855449,11.354843735347968,11.445523142259598,Middle Age,50k-100k
2027132,2018-01-23,2005-10-19,M,1,Beijing,Guangdong,United States,32,2024-12-28,10,34809,934,10734,308859,2024-07-05,384,167,3,1,0,323352,9,6.840546529288687,9.28126471031288,12.922847983320086,Adult,200k+
2057881,2018-01-23,2015-07-03,F,0,Shanghai,Shanghai,United States,70,2024-12-28,8,48125,57657,10224,121520,2024-01-22,244,64,650,1,1,294167,10,10.962284284499939,9.232590980911002,8.0,Senior,100k-200k
